,Emoji,Unicode codepoint,sent
154,🎀,0x1f380,0.6410256410256411
155,━,0x2501,0.17948717948717946
156,☷,0x2637,0.06493506493506493
157,🐷,0x1f437,0.375
158,🙉,0x1f649,0.33999999999999997
159,🌺,0x1f33a,0.56
160,💅,0x1f485,0.3959731543624162
161,🐶,0x1f436,0.5878378378378379
162,🌚,0x1f31a,0.472972972972973
163,👽,0x1f47d,0.32191780821917804
164,🎤,0x1f3a4,0.48611111111111105
165,👭,0x1f46d,0.47222222222222227
166,🎧,0x1f3a7,0.4225352112676057
167,👆,0x1f446,0.3333333333333333
168,🍸,0x1f378,0.5507246376811594
169,🍷,0x1f377,0.40145985401459855
170,®,0xae,0.2846715328467153
171,🍉,0x1f349,0.6102941176470589
172,😇,0x1f607,0.6
173,☑,0x2611,0.10370370370370371
174,🏃,0x1f3c3,0.41481481481481475
175,😿,0x1f63f,-0.3805970149253731
176,│,0x2502,0.35074626865671643
177,💣,0x1f4a3,0.007633587786259555
178,🍺,0x1f37a,0.5038167938931298
179,▶,0x25b6,0.21374045801526717
180,😲,0x1f632,-0.06976744186046513
181,🎸,0x1f3b8,0.528
182,🍹,0x1f379,0.6747967479674797
183,💫,0x1f4ab,0.512396694214876
184,📚,0x1f4da,0.3445378151260504
185,😶,0x1f636,-0.14529914529914528
186,🌷,0x1f337,0.5517241379310345
187,💝,0x1f49d,0.6608695652173913
188,💨,0x1f4a8,0.391304347826087
189,🏈,0x1f3c8,0.543859649122807
190,💍,0x1f48d,0.49107142857142855
191,☔,0x2614,0.2972972972972973
192,👸,0x1f478,0.6216216216216216
193,🇪,0x1f1ea,0.6330275229357798
194,░,0x2591,-0.04629629629629631
195,🍩,0x1f369,0.39252336448598124
196,👾,0x1f47e,0.3714285714285714
197,☁,0x2601,0.3173076923076923
198,🌻,0x1f33b,0.5865384615384616
199,😵,0x1f635,0.08737864077669899
200,📒,0x1f4d2,0.0392156862745098
201,↿,0x21bf,0.6666666666666666
202,🐯,0x1f42f,0.49000000000000005
203,👼,0x1f47c,0.3434343434343434
204,🍔,0x1f354,0.2857142857142857
205,😸,0x1f638,0.422680412371134
206,👶,0x1f476,0.44791666666666674
207,↾,0x21be,0.6666666666666666
208,💐,0x1f490,0.7578947368421053
209,🌊,0x1f30a,0.5157894736842105
210,🍦,0x1f366,0.4736842105263158
211,🍓,0x1f353,0.6914893617021277
212,👇,0x1f447,0.25531914893617025
213,💆,0x1f486,0.2282608695652174
214,🍴,0x1f374,0.5543478260869565
215,😧,0x1f627,-0.06521739130434784
