,comment,cl_comment,user,sent
51,Te admiraba muchísimo tu belleza tu stilo pero el trabajo de tu boca para mi opinion personal no gusta as cambiado un montón cariño  un montón con todo mis respetos eres preciosa pero ....,admiraba much simo belleza stilo trabajo boca opinion personal gusta as cambiado mont n cari mont n respetos preciosa,aishahernandez2678,0.5942199007514752
52,❤️❤️❤️❤️❤️,,diolga.ph9,0.49789225920557484
53,❤️ que bonita .,bonita,m.isabelita2000,0.7785298987870656
54,"Gracias por enseñarnos como maquillarnos. Ahora me gusta mas tu pelo y ese maquillaje es perfecto para tu belleza, besitos.",gracias ense arnos maquillarnos ahora gusta mas pelo maquillaje perfecto belleza besitos,silvialinamunozhidalgo,0.4223536064562115
55,Yanga chiroylisz gap yoqq,yanga chiroylisz gap yoqq,eldor_lutfullaev_,0.49789225920557484
56,Q arte!!!,q arte,luisabel1999,0.6390757373858952
57,Con tanto retoque y dinerito yo también tendría media docena de hijos....,retoque dinerito tambi n tendr media docena hijos,macanile1960,0.13230842904561657
58,Hay que ver lo que hace tener calderilla de la buena.......😂,ver hace tener calderilla buena,macanile1960,0.31651685095378324
59,Toop,toop,lawaxguparap5,0.49789225920557484
60,"De verdad, ¿secreto de belleza???, tratais a las personas como si fuesemos idiotas, estas operada a saco, maquilladas ya pestañas, raya del ojo y cejas.... que lo quereis hacer, perfecto, cada uno hace lo que quiere con su cuerpo, pero que vendais esto como un secreto natural...., que poquita vergüenza!!!!",verdad secreto belleza tratais personas si fuesemos idiotas operada saco maquilladas pesta as raya ojo cejas quereis hacer perfecto cada hace quiere cuerpo vendais secreto natural poquita verg enza,marilis_carrizo,0.23593725998694906
61,Con lo que te pongas reina 🤩🤩,pongas reina,rakelmama3.love,0.49789225920557484
62,Lo que impacta es tu mirada😱😱,impacta mirada,elmesiasc,0.49789225920557484
63,Con tantas cirugías que tiene no le hace falta maquillarse. Eso es para nosotras las pobres y normales😂,tantas cirug as hace falta maquillarse pobres normales,necttym,0.1346440376773165
64,"Fabulous! So inspiring 😍😍😍 te amamos, Pilar ❤️🔥❤️",fabulous so inspiring amamos pilar,meg_shanghai,0.49789225920557484
65,Que guapa x Dios! 😍😍,guapa x dios,paquimihu,0.1902468900431735
66,Eres espectacular 😍,espectacular,elrincondegema_,0.9137249971097122
67,No t hagas nada en la cara q no lo necesitas. Eres guapísima y t vas a desgraciar,t hagas cara q necesitas guap sima t vas desgraciar,devillanuevasuarez,0.2648276786109416
68,😍😍,,tulygla,0.49789225920557484
69,"El serum no se aplica la pipeta directamente al rostro, se aplica en la mano y luego te lo masajeas. De esta forma no contaminas el producto. Las bacterias de tu rostro las introduces en el bote otra vez....",serum aplica pipeta directamente rostro aplica mano luego masajeas forma contaminas producto bacterias rostro introduces bote vez,brujita_veron,0.005042475385077239
70,Una hora de maquillaje no es express,hora maquillaje express,lidia_caruso1,0.21993085739299903
71,"Pero se está desmaquillando y no se le va el maquillaje? Que raro, creo que está maquillada permanentemente",est desmaquillando va maquillaje raro creo est maquillada permanentemente,puri.jara,0.059520264354173714
72,😮😮😮😮😮❤️,,amit.yadav9703,0.49789225920557484
73,😍😍😍,,shalev_ohayon555,0.49789225920557484
74,Express joder yo con tres niño dudo que me maquille así exprés 😂😂 me maquillo exprés si pero solo la línia de los ojos y arreando,express joder tres dudo maquille as expr s maquillo expr s si solo l nia ojos arreando,nenitah89,0.08430069098391499
75,You are so beautiful. ❤,you are so beautiful,miladjamriz,0.49789225920557484
76,🙌🙌🙌🙌,,garbineabasolo,0.49789225920557484
77,Siempre guapa! Pero es verdad te has pasado con los labios,siempre guapa verdad pasado labios,eleferreira2,0.30444388372788356
78,Me encanta pero con esa cara no necesitas ningún maquillaje 💄💋👑,encanta cara necesitas ning n maquillaje,maripazsb,0.6354215760752853
79,"Que lastima ver lo artificial que te estás dejando  la cara Pilar, eres una mujer tan guapa y unas facciones tan bonitas.... Es una verdadera pena que no te des cuenta😔",lastima ver artificial est s dejando cara pilar mujer tan guapa unas facciones tan bonitas verdadera pena des cuenta,jenn_nomad,0.011284033921049949
80,🙌🙌❤️,,natbusu,0.49789225920557484
81,Que forma de engañar a la gente 🤣🤣🤣🤣🤣🤣🤣,forma enga ar gente,domimartinmartin,0.19014201438173978
82,😍😍,,lalaeuno,0.49789225920557484
83,Me encantoooo!🔥 menos mal que de los haters también se vive……🙌,encantoooo menos mal haters tambi n vive,tugoodtubetrue,0.015056183679005315
84,Guapa 😍,guapa,drangelachamorro,0.49789225920557484
85,Donde te rellenan los labios porfi🙏,rellenan labios porfi,angelesssss123,0.49789225920557484
86,Eso es antes o después de operarse,despu s operarse,bympardel,0.49789225920557484
87,Pero si ya vas maquillada 🤣,si vas maquillada,danna_gibson_,0.3438495848765303
88,"Jaja vaya cree que somos tontas, jaja",jaja vaya cree tontas jaja,jaquelineaguilarrodriguez,0.32506685266967134
89,😂😂😂😂,,angelinabyshina,0.49789225920557484
90,"No entiendo lo del agua micelar al principio del maquillaje. Tengo entendido que después del agua hay q lavar siempre con un gel, jabón. Pues el agua actúa como jabón y eso hace q no quede limpia del todo la piel… si alguien sabe, me gustaría saber si es correcto el uso del agua en este caso o yo lo estoy haciendo mal.",entiendo agua micelar principio maquillaje entendido despu s agua q lavar siempre gel jab n pues agua act jab n hace q quede limpia piel si alguien sabe gustar saber si correcto uso agua caso haciendo mal,_rron96,1.1922463651651111e-08
91,Que manía tenéis las guapas en poneros feas con tanto retoque estético...que obsesión teneis sobre todo con el aumento de labios.,man ten is guapas poneros feas retoque est tico obsesi n teneis aumento labios,peedritoodicoo,0.21868692975498652
92,"Estás guapísima con ese color de pelo y las mechas preciosas, me encanta 😍",est s guap sima color pelo mechas preciosas encanta,chahira_sarah,0.856114660195771
93,"Empiezas a cambiar tu cara, con los retoques estéticos. No los necesitas , eres guapa sin ningún retoque",empiezas cambiar cara retoques est ticos necesitas guapa ning n retoque,marguiiiii662501,0.08664861279595983
94,"Pilar te pasaste con tu boca,estabas más guapa y natural como eras tú antes....ahora se ve que no es tu boca",pilar pasaste boca m s guapa natural t ahora ve boca,beabea5296,0.0618735668660506
95,Vaya labios más horrorosos,vaya labios m s horrorosos,laura_iz_ca,0.32506685266967134
96,@isaloza84  petite routine de 20min lol..pero que guapa ❤️❤️❤️,petite routine 20min lol guapa,epazmayor,0.49789225920557484
97,"Pilar, cariño, para ya de operaciones por favor! Stop! No te había reconocido😢. Eras monísima pero te vas pareciendo a una teleñeca chochona, por qué😢?",pilar cari operaciones favor stop hab reconocido mon sima vas pareciendo tele eca chochona qu,mary.jane1975,0.10199946396758632
98,"Muñeca de cera. Sin expresión en la cara… te has pasado con el botox, labios deformados incluso… cada vez se destroza más la cara… no lo entiendo",mu eca cera expresi n cara pasado botox labios deformados incluso cada vez destroza m s cara entiendo,lebrijo27,0.00033616362673731206
99,"Pero si estás muchísimo más linda sin maquillaje,wau 😍",si est s much simo m s linda maquillaje wau,samy_nfono,0.3318228626708164
100,Beauty😍😍😍,beauty,sara_bakhtiarizade,0.49789225920557484
101,@melyandyako este es el maquillaje “EXPRESS” que tenemos que hacernos antes de salir para vernos así de divinas hermana. Si es que ya sabía yo que algo no estábamos haciendo bien… 😂,maquillaje express hacernos salir vernos as divinas hermana si sab est bamos haciendo bien,wendy_barillas,0.18082346205235197
102,@wendy_barillas vamos. Todo mal! 🤣🤣🤣🤣🤣,vamos mal,melyandyako,0.013026148953706334
103,Que Alegría echarte el desmaquillante y estar igual de pintada 😅….,alegr echarte desmaquillante igual pintada,monikgaleas,0.3186685919278696
104,"Sin ánimo de ofender, yo te veo igual que cuando has empezado a maquillarte…",nimo ofender veo igual empezado maquillarte,rociodspl,0.06128207270422404
105,🔥🔥🔥,,carmensangi,0.49789225920557484
106,q su-.Q bn,q q bn,daviid.tenaa,0.49789225920557484
107,Alguien sabe que pinta labios es?,alguien sabe pinta labios,arodrigueza85,0.0022224989060361275
108,👌😍,,cintiha10,0.49789225920557484
109,Uy señor!!! Yo me cansé con el primer potingue...Maquillaje exprés dice...,uy or cans primer potingue maquillaje expr s dice,teresa.f.r,0.03486722528300899
110,"Aunque la mona se vista de seda,,,,,,,,",aunque mona vista seda,josepfdgta,0.7271506141966085
111,Madre mia pero si está maquillada ya jajajaja,madre mia si est maquillada jajajaja,ana.arroyoalmanchel,0.1655135935485191
112,Te has pasado con esos labios que te has puesto no te toques mas la cara porque te la estás estropeando 😮,pasado labios puesto toques mas cara est s estropeando,matilde_mh,0.003954918055012277
113,"Qué envidiosas sois, madre mía….",qu envidiosas madre m,belenssba,0.2836877314068293
114,Pero si está totalmente operada e infiltrada de todo. Si no puede desmaquillarse ya lo lleva todo puesto.,si est totalmente operada infiltrada si puede desmaquillarse lleva puesto,lauramarinasgutierrez,0.029132241694400183
115,Me tendría que levantar a las 5 para poder irme a trabajar,tendr levantar 5 poder irme trabajar,mariajoseee1123,0.24753892599312857
116,❤️❤️❤️ guapísima Pilar!,guap sima pilar,isabel.lopezlopez,0.49789225920557484
117,Eres tan guapa que sin maquillaje parece que estuvieras maquillada 😍😍,tan guapa maquillaje parece maquillada,atenasgarzon,0.12188753849392765
118,بناات اتعلمن اتحطن مكياج م̷ـــِْن مرت اخووي ❤️❤️,,ra_3os,0.49789225920557484
119,Poco se habla de los retoques 😜💉🩹,habla retoques,inesm2013,0.4870602823424338
120,"Me canso sólo de verla, a que hora ahí que levantarse a las 5 de la mañana? Total si antes de des maquillarse se le ve el filtro, no entiendo absolutamente nada de nada, 🤦‍♀️, y con el labio superior se han pasado un poquito no, con las salchicha Frankfurt en fin",canso s verla hora ah levantarse 5 ma ana total si des maquillarse ve filtro entiendo absolutamente labio superior pasado poquito salchicha frankfurt fin,maricarmenamorosmartinez,0.0006079590880177834
121,Ты очень красивая люблю,,jasolian17,0.49789225920557484
122,Vaya labios....demasiado grandes..,vaya labios demasiado grandes,verginiavaduva,0.41726779319025525
123,Estas preciosa y perfecta 😘 guapísima 👏👏👏👏,preciosa perfecta guap sima,vivescuartell,0.9959200636599909
124,Que son las gotas que té primer en primer lugar de base?,gotas t primer primer lugar base,mariar_gonzy,0.019448047957804297
125,Madre mia con bótox el frente y tatuados los labios los ojos con filtro,madre mia b tox frente tatuados labios ojos filtro,mabelminion,0.3856765939002656
126,Que guapa,guapa,annabema5,0.49789225920557484
127,"Maquillaje express??? Más todo el maquillaje que llevabas antes de empezar el vídeo... Ay Pili, no nos quieras engañar que no cuela...😂😂😂",maquillaje express m s maquillaje llevabas empezar v deo ay pili quieras enga ar cuela,maria_josebf,0.4230936885521626
128,Que lástima….con lo guapa que eres y ahora se te ve súper artificial,l stima guapa ahora ve s per artificial,demelmak8,0.11094206246364359
129,Wow!!!!🔥🔥❤️❤️❤️👏👏,wow,mihalorry,0.49789225920557484
130,❤️❤️❤️❤️❤️,,edithmanzurvega,0.49789225920557484
131,Belíssima! 🥰,bel ssima,valerianogueiravieira,0.49789225920557484
132,😍😍,,abdelhamed.12,0.49789225920557484
133,🥰❤️,,juanjose.aguila,0.49789225920557484
134,"Esta mujer es de otro planeta es espectacular y lo mejor es ver como la critican mujeres, y con una envidia …. Luego dicen que es el hombre el Que nos perjudica cuando somos entre nosotras …A mi me alucina esta mujer tenga lo que tenga hecho que será lo que le de la gana …. Y ademas todo le sienta súper bien 👏👏👏😍",mujer planeta espectacular mejor ver critican mujeres envidia luego dicen hombre perjudica alucina mujer hecho ser gana ademas sienta s per bien,stellasealover,0.00026603156437048997
135,❤️❤️❤️❤️❤️❤️,,mjhdjnjfry,0.49789225920557484
136,❤️ hola buenas noches,hola buenas noches,extormartine,0.1304590891632706
137,❤️❤️❤️🇦🇫🇦🇫🇦🇫🇦🇫🇦🇫,,zynbnasry863,0.49789225920557484
138,😍😍,,hardman__ok,0.49789225920557484
139,🔥,,m_aldafaeiy_91_,0.49789225920557484
140,❤️,,mila_billiard_style,0.49789225920557484
141,Bellisima!😳,bellisima,nilyhanp,0.49789225920557484
142,Madre mía! Qué te has hecho en la cara?,madre m qu hecho cara,laboratorio.dental.jm,0.02455417591747964
143,Esa bocaaaaaaaa te estás arruinando la cara. Más linda cuando eras natural,bocaaaaaaaa est s arruinando cara m s linda natural,lulyconte,0.15624036970912095
