,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
3055,Wow,wow,['wow'], ,0.5859,pos,joshharbhajan, ,0
3056,Beatiful,beati,['beati'], ,0.0,neu,derek_itan_debiasi99, ,0
3057,😍, ,[],😍,0.6779367825129737,neu,cakinil, ,0
3058,🔥❤️, ,[],🔥❤,0.44293595137914915,neu,cakinil, ,0
3059,💎, ,[],💎,0.569377990430622,neu,rubennsoto, ,0
3060,❤️❤️❤️❤️, ,[],❤❤❤❤,0.7460869565217392,neu,d.a.f.1313, ,0
3061,❤️❤️🔥🔥🔥, ,[],❤❤🔥🔥🔥,0.3823057503506311,neu,meriane183, ,0
3062,😍♥️, ,[],😍♥,0.667775782073956,neu,aylin.fdzzz, ,0
3063,💙💙💙💙❤❤🇮🇷, ,[],💙💙💙💙❤❤,0.7369997457411644,neu,mohebi3ghasem, ,0
3064,❤️❤️❤️❤️❤️❤️, ,[],❤❤❤❤❤❤,0.7460869565217392,neu,ebrahim.fattahi, ,0
3065,❤️, ,[],❤,0.7460869565217392,neu,111oud, ,0
3066,So proud of you @caradelevingne 👏👏👏😍😍😍❤️❤️❤️,proud,['proud'],👏👏👏😍😍😍❤❤❤,0.6310415052720578,pos,atti_smith,caradelevingne ,0
3067,I see Michael Jackson from her face,see michael jackson face,"['see', 'michael', 'jackson', 'face']", ,0.0,neu,nonbinary_hk, ,0
3068,❤️❤️❤️❤️❤️🔥🔥, ,[],❤❤❤❤❤🔥🔥,0.5728578107259734,neu,itsnectrmusic, ,0
3069,Perfect and Beautiful ❤️💙,perfect beauti,"['perfect', 'beauti']",❤💙,0.6555857742181541,pos,neko.gmv, ,0
3070,Aaaaassaaaaa 😭😭😭😭😭,aaaaassaaaaa,['aaaaassaaaaa'],😭😭😭😭😭,-0.07781397032211367,neu,vuwder, ,0
3071,🔥, ,[],🔥,0.1397849462365591,neu,torrenterachic, ,0
3072,کارا عشقم❤️, ,[],❤,0.7460869565217392,neu,mhkh_666, ,0
3073,Cool,cool,['cool'], ,0.3182,neu,divandswimguy04, ,0
3074,❤️❤️❤️, ,[],❤❤❤,0.7460869565217392,neu,maasfer343, ,0
3075,❤️❤️❤️❤️, ,[],❤❤❤❤,0.7460869565217392,neu,georgipashalis, ,0
3076,The jeans??? I have to have them!,jean,['jean'], ,0.0,neu,carajdromeo, ,2
3077,Wow 😍✨😍,wow,['wow'],😍✨😍,0.5735919761621473,pos,vanebarriosfit, ,1
3078,😍🔥, ,[],😍🔥,0.40886086437476643,neu,otaniel.sena, ,0
3079,🔥🔥, ,[],🔥🔥,0.1397849462365591,neu,leo_12122022, ,0
