,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
3082,8617841242, ,[], ,0.0,neu,laljipasir, ,0
3083,I love you too,love,['love'], ,0.6369,pos,kamlesh__janwa_1, ,0
3084,Enjoy 🌞💞,enjoy,['enjoy'],🌞💞,0.6013864377235071,pos,yohanschwartz, ,0
3085,Hii,hii,['hii'], ,0.0,neu,chhotubhai904, ,0
3086,Hot,hot,['hot'], ,0.0,neu,agus.trians, ,0
3087,Nice puchi 🤤,nice puchi,"['nice', 'puchi']",🤤,0.4215,pos,habbitking2, ,0
3088,GIRLL🔥,girll,['girll'],🔥,0.06989247311827955,neu,victoriaaa_garciaa_, ,0
3089,😍q mujer muy hermoso,q mujer muy hermoso,"['q', 'mujer', 'muy', 'hermoso']",😍,0.13558735650259476,neu,jeisonaraujocasierra120822, ,0
3090,Hot,hot,['hot'], ,0.0,neu,mr3067913, ,0
3091,🔥🔥🔥, ,[],🔥🔥🔥,0.1397849462365591,neu,archnasingh273, ,0
3092,❤️, ,[],❤,0.7460869565217392,neu,brsh9079, ,0
3093,Hi,hi,['hi'], ,0.0,neu,brsh9079, ,0
3094,Hi,hi,['hi'], ,0.0,neu,harisfaisalharisfaisal, ,0
3095,Love you,love,['love'], ,0.6369,pos,randolphschmaltz, ,0
3096,I sell super clone watches 🔥,sell super clone watch,"['sell', 'super', 'clone', 'watch']",🔥,0.5074769892473119,pos,timepiece_lux, ,0
3097,❤️, ,[],❤,0.7460869565217392,neu,chaupalchotelal, ,0
3098,❤️, ,[],❤,0.7460869565217392,neu,alanalan4881, ,0
3099,Hello,hello,['hello'], ,0.0,neu,sajidmohammad04688, ,0
3100,🔥🔥🔥🔥🔥🔥🔥🔥, ,[],🔥🔥🔥🔥🔥🔥🔥🔥,0.1397849462365591,neu,harsingh2706, ,0
3101,😮😮, ,[],😮😮,0.2777777777777778,neu,mohammadarmanali.bd, ,0
3102,😍, ,[],😍,0.6779367825129737,neu,sahel__kiamehr, ,0
3103,Rajasthani video gana,rajasthani video gana,"['rajasthani', 'video', 'gana']", ,0.0,neu,afrini2099, ,0
3104,🔥🔥, ,[],🔥🔥,0.1397849462365591,neu,afrini2099, ,0
3105,Hi,hi,['hi'], ,0.0,neu,afrini2099, ,0
3106,Hi friends,hi friend,"['hi', 'friend']", ,0.4939,pos,tejveersingh.ts9820, ,0
3107,I fock you🔥🔥🔥,fock,['fock'],🔥🔥🔥,0.10483870967741932,neu,saifalikhan2486, ,0
3108,Absolutely Beautiful inside & out💝,absolut beauti insid,"['absolut', 'beauti', 'insid']",💝,0.16521739130434782,neu,tinamillan, ,0
3109,Saxy bideo call whataap no 7078864492,saxi bideo call whataap no,"['saxi', 'bideo', 'call', 'whataap', 'no']", ,-0.296,neu,nitinsagar490, ,0
3110,🔥🔥, ,[],🔥🔥,0.1397849462365591,neu,goodgirlisgonexx, ,0
3111,😍❤️🔥👏😂, ,[],😍❤🔥👏😂,0.46106500685037693,neu,setiabhat, ,0
3112,😍😍, ,[],😍😍,0.6779367825129737,neu,setiabhat, ,0
3113,❤️❤️, ,[],❤❤,0.7460869565217392,neu,bm8299440204, ,0
3114,Hermosa mujer me gusta tú cuerpo esta hermosa😍💓😍💓😍💓😍💓😍💓,hermosa mujer gusta cuerpo esta hermosa,"['hermosa', 'mujer', 'gusta', 'cuerpo', 'esta', 'hermosa']",😍💓😍💓😍💓😍💓😍💓,0.42179732947738924,neu,lencinasjorge3, ,0
3115,🙌, ,[],🙌,0.5604249667994687,neu,prabir05102005, ,0
3116,Call me 7300692857,call,['call'], ,0.0,neu,kuldeep706yadav, ,0
3117,🔥😍, ,[],🔥😍,0.40886086437476643,neu,beautifullegsphoto, ,0
3118,Beautiful girl ❤️🤩❤️🤩❤️🤩,beauti girl,"['beauti', 'girl']",❤🤩❤🤩❤🤩,0.4476521739130435,neu,rive.rasnick, ,0
3119,Linda,linda,['linda'], ,0.0,neu,luizalexandrealexandre0, ,0
3120,Hi,hi,['hi'], ,0.0,neu,simon.onyango.1044, ,0
3121,so hot😍,hot,['hot'],😍,0.33896839125648687,neu,qianyajituanqianshuzhen, ,0
3122,Muito linda ♥️,muito linda,"['muito', 'linda']",♥,0.2192049272116461,neu,monteiromenezesleonardo, ,0
3123,❤️👏, ,[],❤👏,0.6333174508636092,neu,daniloamora165, ,0
3124,Nice,nice,['nice'], ,0.4215,pos,usamaosama610, ,0
3125,Hello,hello,['hello'], ,0.0,neu,ramniwasdeepak, ,0
3126,so biuty,biuti,['biuti'], ,0.0,neu,priyankara779, ,0
3127,🙌, ,[],🙌,0.5604249667994687,neu,riarulmia, ,0
3128,"Very sweet and beautiful you dear 
Good evening",sweet beauti dear good even,"['sweet', 'beauti', 'dear', 'good', 'even']", ,0.8176,pos,tuhinbiswas26, ,0
3129,"Wear u""",wear u,"['wear', 'u']", ,0.0,neu,richard.raduk.54, ,0
3130,79563354T❤️❤️❤️❤️❤️❤️❤️❤️❤️, ,[],❤❤❤❤❤❤❤❤❤,0.7460869565217392,neu,taijul79563354, ,0
